あいかかり                          相掛かり
あいかかりぼうぎん                  相掛かり棒銀
あいふりびしゃ                      相振り飛車
あいよこふどり                      相横歩取り
あくつりゅうきゅうせんやぐら        阿久津流急戦矢倉
あなかくせんぽう                    穴角戦法
あなかくむかいびしゃ                穴角向かい飛車
あひるがこい                        アヒル囲い
いいじまりゅうひきかくせんぽう      飯島流引き角戦法
いしだりゅう                        石田流
いちごがこい                        いちご囲い
いっちょくせんあなぐま              一直線穴熊
いってぞんかくがわり                一手損角換わり
いなにわせんぽう                    稲庭戦法
いびしゃあなぐま                    居飛車穴熊
うれしのりゅう                      嬉野流
えいちゃんりゅうなかびしゃ          英ちゃん流中飛車
おにごろし                          鬼殺し
おにごろしむかいびしゃ              鬼殺し向かい飛車
かくがわり                          角換わり
かくがわりこしかけぎん              角換わり腰掛け銀
かくがわりはやくりぎん              角換わり早繰り銀
かくとうふせんぽう                  角頭歩戦法
かざぐるま                          風車
かたみのがこい                      片美濃囲い
かたやぐら                          片矢倉
かとうりゅうそでびしゃ              加藤流袖飛車
かにかにぎん                        カニカニ銀
かにがこい                          カニ囲い
かまいたちせんぽう                  かまいたち戦法
がんぎがこい                        雁木囲い
きくすいやぐら                      菊水矢倉
きむらじょうせき                    木村定跡
きむらみの                          木村美濃
きもきもきん                        きｍきｍ金
きんびらき                          金開き
きんむそう                          金無双
きんやぐら                          金矢倉
ぎょくとうぎん                      玉頭銀
ぎょくとうくらいどり                玉頭位取り
ぎんかんあなぐま                    銀冠穴熊
ぎんかんむり                        銀冠
ぎんたちやぐら                      銀立ち矢倉
ぎんみの                            銀美濃
ぎんやぐら                          銀矢倉
くさりがまぎん                      鎖鎌銀
くしかつがこい                      串カツ囲い
くすもとしきいしだりゅう            楠本式石田流
げんしなかびしゃ                    原始中飛車
げんしぼうぎん                      原始棒銀
こしかけぎん                        腰掛け銀
こじまやぐみ                        児玉屋組
ごうななきんせんぽう                ５七金戦法
ごきげんなかびしゃ                  ゴキゲン中飛車
ごすじくらいどり                    ５筋位取り
さかたりゅうむかいびしゃ            阪田流向飛車
さぎのみやじょうせき                鷺宮定跡
さんけんびしゃ                      三間飛車
さんげんびしゃ                      三間飛車
さんさんかくがたくうちゅうせんぽう  △３三角型空中戦法
さんさんけいせんぽう                △３三桂戦法
さんななぎんせんぽう                ３七銀戦法
さんにいひしゃせんぽう              △３ニ飛戦法
さんにひしゃせんぽう                △３ニ飛戦法
さんにーひしゃせんぽう              △３ニ飛戦法
しけんびしゃ                        四間飛車
しょしんしゃがこい                  初心者囲い
しんいしだりゅう                    新石田流
しんおにごろし                      新鬼殺し
しんかざぐるま                      新風車
しんよねながぎょく                  新米長玉
すじちがいかく                      筋違い角
すずめざし                          雀刺し
そうやぐら                          総矢倉
そでびしゃ                          袖飛車
たいふりじきゅうせん                対振り持久戦
たかだりゅうひだりぎょく            高田流左玉
たかみのがこい                      高美濃囲い
たていしりゅう                      立石流
たてふどり                          縦歩取り
だいやもんどみの                    ダイヤモンド美濃
だいれくとむかいびしゃ              ダイレクト向かい飛車
ちかてつびしゃ                      地下鉄飛車
ちょうきゅうせん                    超急戦
ちょうそく                          超速
ちょんまげみの                      ちょんまげ美濃
つかだすぺしゃる                    塚田スペシャル
つくつくぼうしせんぽう              つくつくぼうし戦法
つのぎんなかびしゃ                  ツノ銀中飛車
てんしゅかくみの                    天守閣美濃
とみざわきっく                      富沢キック
とりざし                            鳥刺し
なかずまい                          中住まい
なかたいさおえっくすぴー            中田功ＸＰ
なかはらぎょく                      中原玉
なかはらひしゃ                      中原飛車
なかはらりゅうあいがかり            中原流相掛かり
なかはらりゅうきゅうせんやぐら      中原流急戦矢倉
ななにいひあきゅうせん              ７二飛亜急戦
ななにーひあきゅうせん              ７二飛亜急戦
ななはちひせんぽう                  ▲７八飛戦法
はこいりむすめ                      箱入り娘
はしぎょくぎんかん                  端玉銀冠
はちごうひしゃせんぽう              ８五飛車戦法
はやいしだ                          早石田
ぱっくまんせんぽう                  パックマン戦法
ひしやくら                          菱矢倉
ひだりみの                          左美濃
ひだりみのきゅうせん                左美濃急戦
ひねりびしゃ                        ひねり飛車
ひらめ                              平目
びっぐふぉー                        ビッグ４
ふじいしすてむ                      藤井システム
ふなかこい                          舟囲い
ふりびしゃあなぐま                  振り飛車穴熊
ぼうぎん                            棒金
ぼうずみの                          坊主美濃
ぼなんざかこい                      ボナンザ囲い
ぽんぽんけい                        ポンポン桂
ますだしきいしだりゅう              升田式石田流
まつおりゅうあなぐま                松尾流穴熊
まなべりゅう                        真部流
まるやまわくちん                    丸山ワクチン
みぎぎょく                          右玉
みぎしけんびしゃ                    右四間飛車
みぎしけんびしゃきゅうせん          右四間飛車急戦
みぎやぐら                          右矢倉
みのがこい                          美濃囲い
みれにあむがこい                    ミレニアム囲い
むかいびしゃ                        向飛車
むてきがこい                        無敵囲い
めりけんむかいひしゃ                メリケン向かい飛車
もりしたしすてむ                    森下システム
やくらあなぐま                      矢倉穴熊
やぐらなかびしゃ                    矢倉中飛車
やぐらぼうぎん                      矢倉棒銀
ゆーふぉーぎん                      UFO銀
ようどうふりびしゃ                  陽動振り飛車
よこふどり                          横歩取り
よねながりゅうきゅうせんやぐら      米長流急戦矢倉
よんごうかくせんぽう                △４五角戦法
よんごーかくせんぽう                △４五角戦法
よんごかくせんぽう                  △４五角戦法
よんごうふはやじかけ                ４五歩早仕掛け
よんごーふはやじかけ                ４五歩早仕掛け
よんさんせんぽう                    ４→３戦法
よんてかく                          四手角
よんまいみの                        四枚美濃
よんろくぎんひだりきゅうせん        ４六銀左急戦
よんろくぎんみぎきゅうせん          ４六銀右急戦
れぐすぺ                            レグスペ
わきしすてむ                        脇システム
